group,names,scores,logfoldchanges,pvals,pvals_adj
3,RP11-178G16.4,16.275728,,1.4676222973838701e-59,5.201775643359406e-57
3,APOBEC3A,16.271183,,1.580722300090906e-59,5.568479844094629e-57
3,RP11-272L13.4,16.250498,-4.3608847,2.2155681352708083e-59,7.688391390253928e-57
3,Y_RNA_170,16.250309,-1.0114367,2.2224245965631107e-59,7.688391390253928e-57
3,RP11-498D10.5,16.248318,-1.803393,2.2957874040742777e-59,7.894912243784717e-57
3,RN7SL801P,16.245947,-1.3438991,2.3863161346930747e-59,8.157671127196628e-57
3,PLEKHD1,16.227728,-2.9707701,3.211303800463678e-59,1.0913332615540475e-56
3,LGALS9C,16.221148,,3.5745082414074377e-59,1.2006399106443716e-56
3,RP11-400K9.1,16.217644,-2.8215337,3.784336768351082e-59,1.263771607618191e-56
3,TPT1P10,16.216545,-0.8853275,3.8526463897765704e-59,1.2791893096354127e-56
3,RPL17P50,16.21416,-2.799645,4.005113666887062e-59,1.3147013174833307e-56
3,TRERF1,16.213102,,4.074707064262715e-59,1.3299889899641232e-56
3,POU5F1,16.211346,-1.219259,4.192889935981748e-59,1.3545152584367729e-56
3,FBXL14,16.211288,-0.6794731,4.19673950219276e-59,1.3545152584367729e-56
3,snoU13_286,16.210438,,4.255307803422649e-59,1.3657883207063147e-56
3,IMPG2,16.20189,-0.9283355,4.88998643698817e-59,1.5464549386489123e-56
3,SPATA6L,16.201784,-0.83985525,4.898503691564415e-59,1.5464549386489123e-56
3,AC108488.4,16.200823,-3.1209855,4.975710111873834e-59,1.5622918494200381e-56
3,RHOQP3,16.199987,-3.9152436,5.043799874364684e-59,1.5751105413063288e-56
3,RP11-6L6.2,16.199186,-1.5230998,5.109813266617478e-59,1.58714646157146e-56
3,LINC01010,16.197565,-1.2725317,5.24640648219604e-59,1.6205218992919194e-56
3,PRSS23,16.195377,-0.96905893,5.436377384297333e-59,1.6617768816032266e-56
3,BACH1-IT1,16.194159,-2.0856872,5.545050194788034e-59,1.6860746573867846e-56
3,RP11-738E22.3,16.19342,-1.2950733,5.612054907342047e-59,1.6886731675097505e-56
3,MT-TE,16.191908,-0.7118763,5.751737172485492e-59,1.7217363298756702e-56
3,ADAM20,16.190882,-1.2067105,5.848380748533815e-59,1.7339730656200646e-56
3,FAHD2CP,16.190838,-1.8629956,5.852643065028865e-59,1.7339730656200646e-56
3,RP11-135A1.2,16.186895,-1.0901037,6.239810572435663e-59,1.8248486129469044e-56
3,RP11-763B22.9,16.186684,-1.4350562,6.261251874128268e-59,1.8248486129469044e-56
3,AC016831.3,16.186445,-1.1471415,6.285719522552645e-59,1.8248486129469044e-56
3,MNDA,16.185493,,6.383646431488444e-59,1.8440120264319092e-56
3,RP11-298O21.2,16.178793,,7.117708741399095e-59,1.9865284401780188e-56
3,RP1-145M24.1,16.177197,-1.0988649,7.304647111220094e-59,2.0221165583991015e-56
3,RBMX2P5,16.176228,-0.9557101,7.4202994051526265e-59,2.0221165583991015e-56
3,MT-TL1,16.176004,,7.447354004723609e-59,2.0221165583991015e-56
3,ANP32A,16.17594,,7.455226956173448e-59,2.0221165583991015e-56
3,COL7A1,16.171755,-0.61439747,7.979349963163013e-59,2.0224856688216234e-56
